"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2026","2,722.00","2,722.00","2,722.00","2,722.00","","2.37%"
"06/18/2026","2,659.00","2,659.00","2,659.00","2,659.00","","0.23%"
"06/17/2026","2,653.00","2,653.00","2,653.00","2,653.00","","-0.64%"
"06/16/2026","2,670.00","2,670.00","2,670.00","2,670.00","","-1.84%"
"06/15/2026","2,720.00","2,729.00","2,729.00","2,720.00","","-3.48%"
"06/09/2026","2,818.00","2,818.00","2,818.00","2,818.00","","-3.36%"
"06/08/2026","2,916.00","2,916.00","2,916.00","2,916.00","","-2.18%"
"06/05/2026","2,981.00","2,981.00","2,981.00","2,981.00","","-1.84%"
"06/04/2026","3,037.00","3,037.00","3,037.00","3,037.00","","-2.78%"
"06/03/2026","3,124.00","3,124.00","3,124.00","3,124.00","","-2.53%"
"06/02/2026","3,205.00","3,205.00","3,205.00","3,205.00","","-0.53%"
"06/01/2026","3,222.00","3,222.00","3,222.00","3,222.00","","-0.06%"
"05/29/2026","3,224.00","3,224.00","3,224.00","3,224.00","","-0.06%"
"05/28/2026","3,226.00","3,226.00","3,226.00","3,226.00","","3.27%"
"05/27/2026","3,124.00","3,124.00","3,124.00","3,124.00","","1.26%"
"05/26/2026","3,085.00","3,085.00","3,085.00","3,085.00","","3.14%"
"05/22/2026","2,991.00","2,991.00","2,991.00","2,991.00","","0.91%"
"05/21/2026","2,964.00","2,964.00","2,964.00","2,964.00","","-1.36%"
"05/20/2026","3,005.00","3,005.00","3,005.00","3,005.00","","-1.60%"
"05/19/2026","3,054.00","3,054.00","3,054.00","3,054.00","","-1.23%"
"05/18/2026","3,092.00","3,092.00","3,092.00","3,092.00","","-1.87%"
"05/15/2026","3,151.00","3,151.00","3,151.00","3,151.00","","-1.38%"
"05/14/2026","3,195.00","3,195.00","3,195.00","3,195.00","","0.19%"
"05/13/2026","3,189.00","3,189.00","3,189.00","3,189.00","","4.11%"
"05/12/2026","3,063.00","3,063.00","3,063.00","3,063.00","","2.07%"
"05/11/2026","3,001.00","3,001.00","3,001.00","3,001.00","","0.77%"
"05/08/2026","2,978.00","2,978.00","2,978.00","2,978.00","","-1.85%"
"05/07/2026","3,034.00","3,034.00","3,034.00","3,034.00","","1.44%"
"05/06/2026","2,991.00","2,991.00","2,991.00","2,991.00","","5.61%"
"05/05/2026","2,832.00","2,832.00","2,832.00","2,832.00","","3.74%"
"05/01/2026","2,730.00","2,730.00","2,730.00","2,730.00","","1.64%"
"04/30/2026","2,686.00","2,686.00","2,686.00","2,686.00","","0.60%"
"04/29/2026","2,670.00","2,670.00","2,670.00","2,670.00","","-0.26%"
"04/28/2026","2,677.00","2,677.00","2,677.00","2,677.00","","0.41%"
"04/27/2026","2,666.00","2,666.00","2,666.00","2,666.00","","0.04%"
"04/24/2026","2,665.00","2,665.00","2,665.00","2,665.00","","-0.30%"
"04/23/2026","2,673.00","2,673.00","2,673.00","2,673.00","","-0.07%"
"04/22/2026","2,675.00","2,675.00","2,675.00","2,675.00","","1.33%"
"04/21/2026","2,640.00","2,640.00","2,640.00","2,640.00","","0.27%"
"04/20/2026","2,633.00","2,633.00","2,633.00","2,633.00","","2.57%"
"04/17/2026","2,567.00","2,567.00","2,567.00","2,567.00","","1.74%"
"04/16/2026","2,523.00","2,523.00","2,523.00","2,523.00","","1.57%"
"04/15/2026","2,484.00","2,484.00","2,484.00","2,484.00","","5.52%"
"04/14/2026","2,354.00","2,354.00","2,354.00","2,354.00","","4.62%"
"04/13/2026","2,250.00","2,250.00","2,250.00","2,250.00","","2.23%"
"04/10/2026","2,201.00","2,201.00","2,201.00","2,201.00","","1.85%"
"04/09/2026","2,161.00","2,161.00","2,161.00","2,161.00","","1.03%"
"04/08/2026","2,139.00","2,139.00","2,139.00","2,139.00","","2.10%"
"04/07/2026","2,095.00","2,095.00","2,095.00","2,095.00","","1.40%"
"04/02/2026","2,066.00","2,066.00","2,066.00","2,066.00","","1.77%"
"04/01/2026","2,030.00","2,030.00","2,030.00","2,030.00","","1.75%"
"03/31/2026","1,995.00","1,995.00","1,995.00","1,995.00","","-1.09%"
"03/30/2026","2,017.00","2,017.00","2,017.00","2,017.00","","-0.69%"
"03/27/2026","2,031.00","2,031.00","2,031.00","2,031.00","","0.84%"
"03/26/2026","2,014.00","2,014.00","2,014.00","2,014.00","","0.65%"
"03/25/2026","2,001.00","2,001.00","2,001.00","2,001.00","","0.60%"
"03/24/2026","1,989.00","1,989.00","1,989.00","1,989.00","","-2.36%"
"03/23/2026","2,037.00","2,037.00","2,037.00","2,037.00","","-0.92%"
"03/20/2026","2,056.00","2,056.00","2,056.00","2,056.00","","-0.05%"
"03/19/2026","2,057.00","2,057.00","2,057.00","2,057.00","","-0.34%"
"03/18/2026","2,064.00","2,064.00","2,064.00","2,064.00","","1.98%"
"03/17/2026","2,024.00","2,024.00","2,024.00","2,024.00","","-0.69%"
"03/16/2026","2,038.00","2,038.00","2,038.00","2,038.00","","0.49%"
"03/13/2026","2,028.00","2,028.00","2,028.00","2,028.00","","2.84%"
"03/12/2026","1,972.00","1,972.00","1,972.00","1,972.00","","2.39%"
"03/11/2026","1,926.00","1,926.00","1,926.00","1,926.00","","0.36%"
"03/10/2026","1,919.00","1,919.00","1,919.00","1,919.00","","-7.12%"
"03/09/2026","2,066.00","2,066.00","2,066.00","2,066.00","","2.79%"
"03/06/2026","2,010.00","2,010.00","2,010.00","2,010.00","","-5.99%"
"03/05/2026","2,138.00","2,138.00","2,138.00","2,138.00","","-4.25%"
"03/04/2026","2,233.00","2,233.00","2,233.00","2,233.00","","-0.40%"
"03/03/2026","2,242.00","2,242.00","2,242.00","2,242.00","","2.51%"
"03/02/2026","2,187.00","2,187.00","2,187.00","2,187.00","","2.20%"
"02/27/2026","2,140.00","2,140.00","2,140.00","2,140.00","","1.09%"
"02/26/2026","2,117.00","2,117.00","2,117.00","2,117.00","","-0.19%"
"02/25/2026","2,121.00","2,121.00","2,121.00","2,121.00","","-0.38%"
"02/24/2026","2,129.00","2,129.00","2,129.00","2,129.00","","0.80%"
"02/23/2026","2,112.00","2,112.00","2,112.00","2,112.00","","3.38%"
"02/20/2026","2,043.00","2,043.00","2,043.00","2,043.00","","1.19%"
"02/19/2026","2,019.00","2,019.00","2,019.00","2,019.00","","-2.13%"
"02/18/2026","2,063.00","2,063.00","2,063.00","2,063.00","","-1.53%"
"02/17/2026","2,095.00","2,095.00","2,095.00","2,095.00","","-0.24%"
"02/16/2026","2,100.00","2,100.00","2,100.00","2,100.00","","0.82%"
"02/13/2026","2,083.00","2,083.00","2,083.00","2,083.00","","-0.57%"
"02/12/2026","2,095.00","2,095.00","2,095.00","2,095.00","","7.00%"
"02/11/2026","1,958.00","1,958.00","1,958.00","1,958.00","","4.04%"
"02/10/2026","1,882.00","1,882.00","1,882.00","1,882.00","","-0.69%"
"02/09/2026","1,895.00","1,895.00","1,895.00","1,895.00","","-1.46%"
"02/06/2026","1,923.00","1,923.00","1,923.00","1,923.00","","-0.67%"
"02/05/2026","1,936.00","1,936.00","1,936.00","1,936.00","","-0.97%"
"02/04/2026","1,955.00","1,955.00","1,955.00","1,955.00","","-3.60%"
"02/03/2026","2,028.00","2,028.00","2,028.00","2,028.00","","-4.52%"
"02/02/2026","2,124.00","2,124.00","2,124.00","2,124.00","","-1.12%"
"01/30/2026","2,148.00","2,148.00","2,148.00","2,148.00","","7.29%"
"01/29/2026","2,002.00","2,002.00","2,002.00","2,002.00","","-0.69%"
"01/28/2026","2,016.00","2,016.00","2,016.00","2,016.00","","0.85%"
"01/27/2026","1,999.00","1,999.00","1,999.00","1,999.00","","12.30%"
"01/26/2026","1,780.00","1,780.00","1,780.00","1,780.00","","1.02%"
"01/23/2026","1,762.00","1,762.00","1,762.00","1,762.00","","0.06%"
"01/22/2026","1,761.00","1,761.00","1,761.00","1,761.00","","-2.33%"
"01/21/2026","1,803.00","1,803.00","1,803.00","1,803.00","","4.28%"
"01/20/2026","1,729.00","1,729.00","1,729.00","1,729.00","","4.79%"
"01/19/2026","1,650.00","1,650.00","1,650.00","1,650.00","","5.30%"
"01/16/2026","1,567.00","1,567.00","1,567.00","1,567.00","","2.28%"
"01/15/2026","1,532.00","1,532.00","1,532.00","1,532.00","","-2.17%"
"01/14/2026","1,566.00","1,566.00","1,566.00","1,566.00","","-2.61%"
"01/13/2026","1,608.00","1,608.00","1,608.00","1,608.00","","-3.07%"
"01/12/2026","1,659.00","1,659.00","1,659.00","1,659.00","","-1.72%"
"01/09/2026","1,688.00","1,688.00","1,688.00","1,688.00","","-1.75%"
"01/08/2026","1,718.00","1,718.00","1,718.00","1,718.00","","-3.27%"
"01/07/2026","1,776.00","1,776.00","1,776.00","1,776.00","","-2.95%"
"01/06/2026","1,830.00","1,830.00","1,830.00","1,830.00","","-1.13%"
"01/05/2026","1,851.00","1,851.00","1,851.00","1,851.00","","-1.65%"
"01/02/2026","1,882.00","1,882.00","1,882.00","1,882.00","","0.27%"
"12/24/2025","1,877.00","1,877.00","1,877.00","1,877.00","","-0.64%"
"12/23/2025","1,889.00","1,889.00","1,889.00","1,889.00","","-4.55%"
"12/22/2025","1,979.00","1,979.00","1,979.00","1,979.00","","-2.17%"
"12/19/2025","2,023.00","2,023.00","2,023.00","2,023.00","","-2.32%"
"12/18/2025","2,071.00","2,071.00","2,071.00","2,071.00","","-2.36%"
"12/17/2025","2,121.00","2,121.00","2,121.00","2,121.00","","-3.77%"
"12/16/2025","2,204.00","2,204.00","2,204.00","2,204.00","","0.50%"
"12/15/2025","2,193.00","2,193.00","2,193.00","2,193.00","","-0.54%"
"12/12/2025","2,205.00","2,205.00","2,205.00","2,205.00","","-3.88%"
"12/11/2025","2,294.00","2,294.00","2,294.00","2,294.00","","-5.60%"
"12/10/2025","2,430.00","2,430.00","2,430.00","2,430.00","","-4.97%"
"12/09/2025","2,557.00","2,557.00","2,557.00","2,557.00","","-5.09%"
"12/08/2025","2,694.00","2,694.00","2,694.00","2,694.00","","-1.21%"
"12/05/2025","2,727.00","2,727.00","2,727.00","2,727.00","","-3.09%"
"12/04/2025","2,814.00","2,814.00","2,814.00","2,814.00","","-1.09%"
"12/03/2025","2,845.00","2,845.00","2,845.00","2,845.00","","9.42%"
"12/02/2025","2,600.00","2,600.00","2,600.00","2,600.00","","0.66%"
"12/01/2025","2,583.00","2,583.00","2,583.00","2,583.00","","0.90%"
"11/28/2025","2,560.00","2,560.00","2,560.00","2,560.00","","3.23%"
"11/27/2025","2,480.00","2,480.00","2,480.00","2,480.00","","3.29%"
"11/26/2025","2,401.00","2,401.00","2,401.00","2,401.00","","3.98%"
"11/25/2025","2,309.00","2,309.00","2,309.00","2,309.00","","0.61%"
"11/24/2025","2,295.00","2,295.00","2,295.00","2,295.00","","0.88%"
"11/21/2025","2,275.00","2,275.00","2,275.00","2,275.00","","0.22%"
"11/20/2025","2,270.00","2,270.00","2,270.00","2,270.00","","0.44%"
"11/19/2025","2,260.00","2,260.00","2,260.00","2,260.00","","1.99%"
"11/18/2025","2,216.00","2,216.00","2,216.00","2,216.00","","2.93%"
"11/17/2025","2,153.00","2,153.00","2,153.00","2,153.00","","1.32%"
"11/14/2025","2,125.00","2,125.00","2,125.00","2,125.00","","2.31%"
"11/13/2025","2,077.00","2,077.00","2,077.00","2,077.00","","2.32%"
"11/12/2025","2,030.00","2,030.00","2,030.00","2,030.00","","-2.03%"
"11/11/2025","2,072.00","2,072.00","2,072.00","2,072.00","","-0.58%"
"11/10/2025","2,084.00","2,084.00","2,084.00","2,084.00","","-0.95%"
"11/07/2025","2,104.00","2,104.00","2,104.00","2,104.00","","1.99%"
"11/06/2025","2,063.00","2,063.00","2,063.00","2,063.00","","3.00%"
"11/05/2025","2,003.00","2,003.00","2,003.00","2,003.00","","2.30%"
"11/04/2025","1,958.00","1,958.00","1,958.00","1,958.00","","0.67%"
"11/03/2025","1,945.00","1,945.00","1,945.00","1,945.00","","-1.07%"
"10/31/2025","1,966.00","1,966.00","1,966.00","1,966.00","","-0.86%"
"10/30/2025","1,983.00","1,983.00","1,983.00","1,983.00","","1.12%"
"10/29/2025","1,961.00","1,961.00","1,961.00","1,961.00","","0.56%"
"10/28/2025","1,950.00","1,950.00","1,950.00","1,950.00","","-1.32%"
"10/27/2025","1,976.00","1,976.00","1,976.00","1,976.00","","-0.75%"
"10/24/2025","1,991.00","1,991.00","1,991.00","1,991.00","","-3.21%"
"10/23/2025","2,057.00","2,057.00","2,057.00","2,057.00","","-1.77%"
"10/21/2025","2,094.00","2,094.00","2,094.00","2,094.00","","1.11%"
"10/20/2025","2,071.00","2,069.00","2,071.00","2,069.00","","0.10%"
"10/17/2025","2,069.00","2,069.00","2,069.00","2,069.00","","1.12%"
"10/16/2025","2,046.00","2,046.00","2,046.00","2,046.00","","2.45%"
"10/15/2025","1,997.00","1,997.00","1,997.00","1,997.00","","-1.24%"
"10/14/2025","2,022.00","2,022.00","2,022.00","2,022.00","","-5.69%"
"10/13/2025","2,144.00","2,144.00","2,144.00","2,144.00","","10.74%"
"10/10/2025","1,936.00","1,936.00","1,936.00","1,936.00","","0.68%"
"10/09/2025","1,923.00","1,923.00","1,923.00","1,923.00","","-2.04%"
"10/08/2025","1,963.00","1,963.00","1,963.00","1,963.00","","0.82%"
"10/07/2025","1,947.00","1,947.00","1,947.00","1,947.00","","0.78%"
"10/06/2025","1,932.00","1,932.00","1,932.00","1,932.00","","1.63%"
"10/03/2025","1,901.00","1,901.00","1,901.00","1,901.00","","-0.42%"
"10/02/2025","1,909.00","1,909.00","1,909.00","1,909.00","","-3.59%"
"10/01/2025","1,980.00","1,980.00","1,980.00","1,980.00","","-7.22%"
"09/30/2025","2,134.00","2,134.00","2,134.00","2,134.00","","-3.87%"
"09/29/2025","2,220.00","2,220.00","2,220.00","2,220.00","","-1.73%"
"09/26/2025","2,259.00","2,259.00","2,259.00","2,259.00","","-0.31%"
"09/25/2025","2,266.00","2,266.00","2,266.00","2,266.00","","1.16%"
"09/24/2025","2,240.00","2,240.00","2,240.00","2,240.00","","1.82%"
"09/23/2025","2,200.00","2,200.00","2,200.00","2,200.00","","1.29%"
"09/22/2025","2,172.00","2,172.00","2,172.00","2,172.00","","-1.41%"
"09/19/2025","2,203.00","2,203.00","2,203.00","2,203.00","","-0.09%"
"09/18/2025","2,205.00","2,205.00","2,205.00","2,205.00","","1.15%"
"09/17/2025","2,180.00","2,180.00","2,180.00","2,180.00","","1.21%"
"09/16/2025","2,154.00","2,154.00","2,154.00","2,154.00","","0.05%"
"09/15/2025","2,153.00","2,153.00","2,153.00","2,153.00","","1.27%"
"09/12/2025","2,126.00","2,126.00","2,126.00","2,126.00","","0.71%"
"09/11/2025","2,111.00","2,111.00","2,111.00","2,111.00","","-0.05%"
"09/10/2025","2,112.00","2,112.00","2,112.00","2,112.00","","1.59%"
"09/09/2025","2,079.00","2,079.00","2,079.00","2,079.00","","2.97%"
"09/08/2025","2,019.00","2,019.00","2,019.00","2,019.00","","2.02%"
"09/05/2025","1,979.00","1,979.00","1,979.00","1,979.00","","0.82%"
"09/04/2025","1,963.00","1,963.00","1,963.00","1,963.00","","1.19%"
"09/03/2025","1,940.00","1,940.00","1,940.00","1,940.00","","-2.32%"
"09/02/2025","1,986.00","1,986.00","1,986.00","1,986.00","","-1.88%"
"09/01/2025","2,024.00","2,024.00","2,024.00","2,024.00","","-0.05%"
"08/29/2025","2,025.00","2,025.00","2,025.00","2,025.00","","0.40%"
"08/28/2025","2,017.00","2,017.00","2,017.00","2,017.00","","-1.42%"
"08/27/2025","2,046.00","2,046.00","2,046.00","2,046.00","","0.24%"
"08/26/2025","2,041.00","2,041.00","2,041.00","2,041.00","","4.99%"
"08/22/2025","1,944.00","1,944.00","1,944.00","1,944.00","","2.69%"
"08/21/2025","1,893.00","1,893.00","1,893.00","1,893.00","","-1.76%"
"08/20/2025","1,927.00","1,927.00","1,927.00","1,927.00","","-1.88%"
"08/19/2025","1,964.00","1,964.00","1,964.00","1,964.00","","-2.87%"
"08/18/2025","2,022.00","2,022.00","2,022.00","2,022.00","","-1.08%"
"08/15/2025","2,044.00","2,044.00","2,044.00","2,044.00","","0.25%"
"08/14/2025","2,039.00","2,039.00","2,039.00","2,039.00","","0.69%"
"08/13/2025","2,025.00","2,025.00","2,025.00","2,025.00","","0.40%"
"08/12/2025","2,017.00","2,017.00","2,017.00","2,017.00","","-1.03%"
"08/11/2025","2,038.00","2,038.00","2,038.00","2,038.00","","-0.63%"
"08/08/2025","2,051.00","2,051.00","2,051.00","2,051.00","","2.14%"
"08/07/2025","2,008.00","2,008.00","2,008.00","2,008.00","","0.70%"
"08/06/2025","1,994.00","1,994.00","1,994.00","1,994.00","","3.80%"
"08/05/2025","1,921.00","1,921.00","1,921.00","1,921.00","","-2.49%"
"08/04/2025","1,970.00","1,970.00","1,970.00","1,970.00","","-2.38%"
"08/01/2025","2,018.00","2,018.00","2,018.00","2,018.00","","0.75%"
"07/31/2025","2,003.00","2,003.00","2,003.00","2,003.00","","0.40%"
"07/30/2025","1,995.00","1,995.00","1,995.00","1,995.00","","-5.41%"
"07/29/2025","2,109.00","2,109.00","2,109.00","2,109.00","","-5.26%"
"07/28/2025","2,226.00","2,226.00","2,226.00","2,226.00","","-1.37%"
"07/25/2025","2,257.00","2,257.00","2,257.00","2,257.00","","-0.04%"
"07/24/2025","2,258.00","2,258.00","2,258.00","2,258.00","","6.51%"
"07/23/2025","2,120.00","2,120.00","2,120.00","2,120.00","","4.18%"
"07/22/2025","2,035.00","2,035.00","2,035.00","2,035.00","","0.94%"
"07/21/2025","2,016.00","2,016.00","2,016.00","2,016.00","","-1.75%"
"07/18/2025","2,052.00","2,052.00","2,052.00","2,052.00","","1.08%"
"07/17/2025","2,030.00","2,030.00","2,030.00","2,030.00","","6.51%"
"07/16/2025","1,906.00","1,906.00","1,906.00","1,906.00","","2.14%"
"07/15/2025","1,866.00","1,866.00","1,866.00","1,866.00","","4.66%"
"07/14/2025","1,783.00","1,783.00","1,783.00","1,783.00","","7.22%"
"07/11/2025","1,663.00","1,663.00","1,663.00","1,663.00","","13.52%"
"07/10/2025","1,465.00","1,465.00","1,465.00","1,465.00","","2.95%"
"07/09/2025","1,423.00","1,423.00","1,423.00","1,423.00","","-0.56%"
"07/08/2025","1,431.00","1,431.00","1,431.00","1,431.00","","-0.35%"
"07/07/2025","1,436.00","1,436.00","1,436.00","1,436.00","","0.00%"
"07/04/2025","1,436.00","1,436.00","1,436.00","1,436.00","","0.14%"
"07/03/2025","1,434.00","1,434.00","1,434.00","1,434.00","","-0.62%"
"07/02/2025","1,443.00","1,443.00","1,443.00","1,443.00","","-1.03%"
"07/01/2025","1,458.00","1,458.00","1,458.00","1,458.00","","-2.08%"
"06/30/2025","1,489.00","1,489.00","1,489.00","1,489.00","","-2.10%"
"06/27/2025","1,521.00","1,521.00","1,521.00","1,521.00","","-2.06%"
"06/26/2025","1,553.00","1,553.00","1,553.00","1,553.00","","-6.73%"
"06/25/2025","1,665.00","1,665.00","1,665.00","1,665.00","","-0.95%"
"06/24/2025","1,681.00","1,681.00","1,681.00","1,681.00","","0.42%"
"06/23/2025","1,674.00","1,674.00","1,674.00","1,674.00","","-0.89%"
"06/20/2025","1,689.00","1,689.00","1,689.00","1,689.00","","-3.54%"
"06/19/2025","1,751.00","1,751.00","1,751.00","1,751.00","","-6.56%"
"06/18/2025","1,874.00","1,874.00","1,874.00","1,874.00","","-4.00%"
"06/17/2025","1,952.00","1,952.00","1,952.00","1,952.00","","-1.16%"
"06/16/2025","1,975.00","1,975.00","1,975.00","1,975.00","","0.36%"
"06/13/2025","1,968.00","1,968.00","1,968.00","1,968.00","","3.36%"
"06/12/2025","1,904.00","1,904.00","1,904.00","1,904.00","","9.55%"
"06/11/2025","1,738.00","1,738.00","1,738.00","1,738.00","","3.45%"
"06/10/2025","1,680.00","1,680.00","1,680.00","1,680.00","","-0.65%"
"06/09/2025","1,691.00","1,691.00","1,691.00","1,691.00","","3.55%"
"06/06/2025","1,633.00","1,633.00","1,633.00","1,633.00","","0.43%"
"06/05/2025","1,626.00","1,626.00","1,626.00","1,626.00","","9.20%"
"06/04/2025","1,489.00","1,489.00","1,489.00","1,489.00","","4.13%"
